Date,High,Low,Open,Close,Volume,Adj Close
2009-12-31,15.844785690307617,15.537590980529785,15.820533752441406,15.55375862121582,1700133.0,7.606866836547852
2010-01-04,15.974130630493164,15.578010559082031,15.658851623535156,15.610347747802734,4897778.0,7.6345415115356445
2010-01-05,15.707357406616211,14.979789733886719,15.55375862121582,15.101051330566406,11253608.0,7.3854594230651855
2010-01-06,15.45674991607666,14.826191902160645,15.00404167175293,15.416330337524414,8521693.0,7.53965425491333
2010-01-07,15.836702346801758,14.915117263793945,15.699272155761719,15.16572380065918,9291973.0,7.417088985443115
2010-01-08,15.860954284667969,15.181892395019531,15.246563911437988,15.836702346801758,7031355.0,7.745241641998291
2010-01-11,16.661277770996094,16.111560821533203,16.24898910522461,16.540016174316406,8242626.0,8.089213371276855
2010-01-12,16.895715713500977,16.289409637451172,16.354082107543945,16.515764236450195,5632803.0,8.077351570129395
2010-01-13,16.60468864440918,16.135812759399414,16.548099517822266,16.354082107543945,3946525.0,7.998279094696045
2010-01-14,16.42683982849121,15.949878692626953,16.329830169677734,16.10347557067871,4109314.0,7.875715732574463
2010-01-15,16.184316635131836,15.650768280029297,16.022634506225586,15.675020217895508,3903230.0,7.666170597076416
2010-01-19,15.796280860900879,15.497171401977539,15.675020217895508,15.634599685668945,6049796.0,7.646403789520264
2010-01-20,15.55375862121582,15.2708158493042,15.448665618896484,15.278901100158691,6341604.0,7.472440242767334
2010-01-21,15.43249797821045,14.97170639038086,15.319320678710938,15.101051330566406,8555834.0,7.3854594230651855
2010-01-22,15.295068740844727,14.842361450195312,15.206144332885742,14.858529090881348,6791625.0,7.266848564147949
2010-01-25,15.157638549804688,14.866613388061523,15.036377906799316,15.036377906799316,4281381.0,7.353829860687256
2010-01-26,16.022634506225586,15.076799392700195,15.327404975891113,15.683103561401367,9911957.0,7.670124053955078
2010-01-27,16.014551162719727,15.52950668334961,15.642683982849121,15.933711051940918,6336038.0,7.792688369750977
2010-01-28,15.966047286987305,15.472917556762695,15.966047286987305,15.52950668334961,5592106.0,7.595004081726074
