Date,MMM,AOS,ABT,ABBV,ABMD,ACN,ATVI,ADM,ADBE,ADP,AAP,AES,AFL,A,AIG,APD,AKAM,ALK,ALB,ARE
2009-12-31,59.068790435791016,6.0659027099609375,19.608131408691406,,8.729999542236328,32.88264465332031,9.908376693725586,22.70584487915039,36.77999877929688,28.00796127319336,38.59661102294922,10.01386547088623,17.092693328857422,20.28477668762207,20.60706329345703,55.55540466308594,25.34000015258789,7.769617557525635,30.385786056518555,44.99361801147461
2010-01-04,59.318878173828125,6.236457824707031,19.778827667236328,,8.739999771118164,33.33428955078125,10.077829360961914,22.82187271118164,37.09000015258789,28.014514923095703,38.50126266479492,10.284712791442873,17.580528259277344,20.434934616088867,20.545204162597656,56.99467086791992,25.920000076293945,7.83930778503418,31.822776794433597,44.4757194519043
2010-01-05,58.94733428955078,6.156771659851074,19.61902618408203,,8.529999732971191,33.54030990600586,10.095663070678713,22.945158004760746,37.70000076293945,27.864070892333984,38.27242660522461,10.179380416870115,18.09053611755371,20.21295547485352,20.16028594970703,56.52178192138672,26.690000534057617,8.268708229064941,31.764291763305664,44.006797790527344
2010-01-06,59.783329010009766,6.159567356109619,19.72798156738281,,8.399999618530273,33.89686584472656,10.042154312133787,22.887142181396484,37.619998931884766,27.798662185668945,38.60613250732422,10.074052810668944,18.24944877624512,20.141138076782227,20.029682159423828,56.05572509765625,26.46999931335449,8.1945161819458,31.822776794433597,43.77586364746094
2010-01-07,59.826202392578125,6.177741527557373,19.89140892028809,,8.399999618530273,33.86517333984375,9.80135726928711,22.647823333740234,36.88999938964844,27.78558349609375,38.59661102294922,10.081576347351074,18.4453182220459,20.11502456665039,19.64476203918457,55.73360061645508,26.479999542236328,8.151803970336914,31.59719467163086,44.1817741394043
2010-01-08,60.24776840209961,6.26861047744751,19.993104934692383,,8.229999542236328,33.73046875,9.72109031677246,22.36500740051269,36.68999862670898,27.74633407592773,38.7491569519043,10.367471694946287,18.260536193847656,20.10849952697754,20.16715431213379,56.08998107910156,26.479999542236328,7.989937305450439,32.073421478271484,44.03480911254883
2010-01-11,60.00484848022461,6.239253520965576,20.09480094909668,,8.079999923706055,33.69878387451172,9.712172508239746,22.3795108795166,36.209999084472656,27.8706111907959,38.367774963378906,10.435184478759766,18.740976333618164,20.121553421020508,20.366493225097656,57.118045806884766,26.38999938964844,7.940478324890137,31.93138885498047,44.26575469970703
2010-01-12,60.05484008789063,6.195916175842285,20.03668785095215,,7.889999866485596,33.48483657836914,9.605152130126951,22.14019203186035,35.65999984741211,27.67438316345215,37.700340270996094,10.314806938171388,18.644893646240234,19.879993438720703,19.56227684020996,56.39157104492188,26.15999984741211,8.118081092834473,31.48859405517578,44.32875442504883
2010-01-13,59.86193084716797,6.1609649658203125,20.226919174194336,,7.960000038146973,33.86517333984375,9.730009078979492,22.23447036743164,36.27999877929688,27.877145767211918,38.22475051879883,10.593179702758787,18.8481559753418,20.03667259216309,19.97469711303711,56.953556060791016,26.040000915527344,8.39460563659668,31.806062698364254,44.447715759277344
2010-01-14,59.6618537902832,6.190323829650879,20.24886703491211,,8.25,34.166259765625,9.685416221618652,22.29248046875,35.900001525878906,27.798662185668945,37.71941375732422,10.600701332092283,19.09576988220215,20.33700180053711,19.658510208129883,56.24764251708984,26.8799991607666,8.408092498779297,31.68074607849121,44.43373107910156
2010-01-15,59.568965911865234,6.1427903175354,20.300092697143555,,8.050000190734863,33.920631408691406,9.712172508239746,22.147449493408203,35.869998931884766,27.648212432861328,37.48104476928711,10.563081741333008,18.888803482055664,19.866928100585938,19.287338256835938,56.72737884521485,26.61000061035156,8.106841087341309,31.655685424804688,43.88784408569336
2010-01-19,60.819366455078125,6.250438690185547,20.559823989868164,,8.350000381469727,34.66543960571289,9.667580604553224,22.147449493408203,36.95000076293945,28.066835403442383,37.66220474243164,10.630796432495115,19.254682540893555,20.10849952697754,19.41793632507324,56.597164154052734,27.21999931335449,8.356385231018066,32.05670547485352,44.40573120117188
2010-01-20,60.53355026245117,6.285386562347412,20.57445907592773,,8.479999542236328,34.47528839111328,9.649744033813477,22.40851593017578,36.4900016784668,27.69400405883789,37.338008880615234,10.314806938171388,18.90359306335449,19.99750518798828,19.218595504760746,55.84325408935547,26.950000762939453,8.318168640136719,31.714147567749023,44.78365707397461
2010-01-21,59.09025573730469,6.070097923278809,20.32569694519043,,8.510000228881836,34.14249801635742,9.444621086120604,22.07493019104004,35.81999969482422,27.569732666015625,37.40476989746094,10.059000968933104,18.65227699279785,19.925687789916992,18.9367790222168,54.73297119140625,26.71999931335449,8.369874954223633,31.01238822937012,43.60090255737305
2010-01-22,58.21852493286133,6.002992630004883,19.941574096679688,,8.449999809265137,33.421443939208984,9.248414039611816,22.09668731689453,34.380001068115234,26.92872810363769,37.89103317260742,9.795681953430176,18.145967483520508,19.04431533813477,18.21505355834961,53.50618362426758,25.81999969482422,8.104593276977539,30.15185546875,43.30696487426758
2010-01-25,58.46862411499024,5.990409851074219,20.01108169555664,,8.25,33.18375396728516,9.025452613830566,21.58904838562012,34.15999984741211,26.994123458862305,38.61566925048828,10.089098930358888,18.545101165771484,19.227113723754883,17.93323516845703,55.007110595703125,25.670000076293945,8.20801067352295,30.49439811706543,43.42593383789063
2010-01-26,58.32572937011719,5.9261016845703125,19.93058967590332,,8.149999618530273,33.14412307739258,8.927350044250488,21.48752212524414,33.939998626708984,26.856769561767575,38.66334533691406,9.833294868469238,18.375104904174805,19.122655868530277,16.771595001220703,54.54106903076172,25.670000076293945,7.976447582244873,31.22124481201172,42.59309387207031
